;Addr;S_OLD;S_NEW;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR;U_DC_1;I_DC_1;P_DC_1;U_DC_2;I_DC_2;P_DC_2;U_DC_3;I_DC_3;P_DC_3;U_AC_1;I_AC_1;P_AC_1;U_AC_2;I_AC_2;P_AC_2;U_AC_3;I_AC_3;P_AC_3;COS_PHI;;;;
;;;;V;A;W;V;A;W;°C;Wh;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;;;;;
04:59:45;4;1;3;301.3;0.00;0;223.2;0.00;0;14;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:00:04;3;1;3;278.3;0.00;0;223.5;0.00;0;14;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:01:41;2;1;3;326.3;0.00;0;222.4;0.00;0;14;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:04:11;2;3;1;244.4;0.04;9;221.9;0.04;9;14;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:07:14;2;1;3;332.9;0.00;0;221.3;0.00;0;14;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:09:15;1;1;3;241.9;0.00;0;223.3;0.00;0;14;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:11:48;1;3;1;226.8;0.00;0;223.0;0.00;0;14;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:14:51;1;1;3;320.2;0.00;0;221.9;0.00;0;14;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:24:49;3;3;4;200.0;0.46;92;219.9;0.40;89;16;13;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:26:56;4;3;4;199.9;0.45;90;220.1;0.39;87;16;14;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:28:02;2;3;4;199.9;0.46;92;218.5;0.40;88;16;16;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:29:26;1;3;4;200.0;0.44;87;222.6;0.38;84;15;13;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:29:30;1;4;3;200.3;0.45;90;222.5;0.39;87;15;13;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:30:16;1;3;4;200.0;0.44;88;222.6;0.38;85;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:30:24;1;4;3;200.0;0.49;97;222.4;0.42;94;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:30:50;1;3;4;200.0;0.48;95;222.6;0.41;92;15;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:30:54;1;4;3;199.9;0.48;95;222.5;0.41;92;15;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:31:04;1;3;4;199.9;0.50;99;222.8;0.43;95;15;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:31:12;1;4;3;207.4;0.44;91;222.9;0.39;88;15;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:32:26;1;4;3;215.5;0.48;104;222.5;0.45;100;15;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:32:38;4;4;64;270.9;0.52;143;222.2;0.62;137;16;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:32:39;1;3;4;201.3;0.49;99;222.7;0.42;95;15;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:32:42;4;64;4;292.6;0.48;142;221.9;0.61;136;16;6;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:39:12;4;4;64;269.7;0.65;175;223.5;0.75;168;17;23;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:39:16;4;64;4;281.3;0.64;180;223.4;0.77;173;17;23;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:28:19;1;4;3;201.6;0.48;98;222.0;0.42;94;42;78;;;;;;;;;;;;;;;;;;;;;0;0;0.0
