[info]
Anlage=SENA Bogota
Datum=180206
[messung]
Uhrzeit;Intervall;W_V0;G_M0;T_U0;T_M0;T_M13;T_M14;T_M15
;s;m/s;W/m²;°C;°C;°C;°C;°C
[Start]
00:15:00;900;-3.8;496;162.4;;;;
00:30:00;900;-3.8;496;162.4;;;;
00:45:00;900;-3.8;496;162.4;;;;
01:00:00;900;-3.8;496;162.4;;;;
01:15:00;900;-3.8;496;162.4;;;;
01:30:00;900;-3.8;496;162.4;;;;
01:45:00;900;-3.8;496;162.4;;;;
02:00:00;900;-3.8;496;162.4;;;;
02:15:00;900;-3.8;496;162.4;;;;
02:30:00;900;-3.8;496;162.4;;;;
02:45:00;900;-3.8;496;162.4;;;;
03:00:00;900;-3.8;496;162.4;;;;
03:15:00;900;-3.8;496;162.4;;;;
03:30:00;900;-3.8;496;162.4;;;;
03:45:00;900;-3.8;496;162.4;;;;
04:00:00;900;-3.8;496;162.4;;;;
04:15:00;900;-3.8;496;162.4;;;;
04:30:00;900;-3.8;496;162.4;;;;
04:45:00;900;-3.8;496;162.4;;;;
05:00:00;900;-3.8;496;162.4;;;;
05:15:00;900;-3.8;496;162.4;;;;
05:30:00;900;-3.8;500;162.4;;;;
05:45:00;900;-3.8;505;162.4;;;;
06:00:00;900;-3.8;517;162.4;;;;
06:15:00;900;-3.8;575;162.4;;;;
06:30:00;900;-3.8;639;162.4;;;;
06:45:00;900;-3.8;684;162.4;;;;
07:00:00;900;-3.8;785;162.4;;;;
07:15:00;900;-3.8;915;162.4;;;;
07:30:00;900;-3.9;805;162.4;;;;
07:45:00;900;-3.9;771;162.4;;;;
08:00:00;900;-3.8;956;162.4;;;;
08:15:00;900;-3.8;947;162.4;;;;
08:30:00;900;-3.8;965;162.4;;;;
08:45:00;900;-3.9;915;162.4;;;;
09:00:00;900;-3.8;894;162.4;;;;
09:15:00;900;-3.8;935;162.4;;;;
09:30:00;900;-3.8;1135;162.4;;;;
09:45:00;900;-3.8;1379;162.4;;;;
10:00:00;900;-3.8;1259;162.4;;;;
10:15:00;900;-3.8;1090;162.4;;;;
10:30:00;900;-3.8;1044;162.4;;;;
10:45:00;900;-3.8;1004;162.4;;;;
11:00:00;900;-3.8;892;162.4;;;;
11:15:00;900;-3.7;1359;162.4;;;;
11:30:00;900;-3.8;1189;162.4;;;;
11:45:00;900;-3.8;1253;162.4;;;;
12:00:00;900;-3.7;1331;162.4;;;;
12:15:00;900;-3.8;1249;162.4;;;;
12:30:00;900;-3.7;1395;162.4;;;;
12:45:00;900;-3.7;1765;162.4;;;;
13:00:00;900;-3.7;1766;162.4;;;;
13:15:00;900;-3.7;1682;162.4;;;;
13:30:00;900;-3.7;1645;162.4;;;;
13:45:00;900;-3.7;1162;162.4;;;;
14:00:00;900;-3.7;1350;162.4;;;;
14:15:00;900;-3.7;1694;162.4;;;;
14:30:00;900;-3.7;1525;162.4;;;;
14:45:00;900;-3.7;1409;162.4;;;;
15:00:00;900;-3.7;1226;162.4;;;;
15:15:00;900;-3.7;1188;162.4;;;;
15:30:00;900;-3.7;1189;162.4;;;;
15:45:00;900;-3.7;1169;162.4;;;;
16:00:00;900;-3.7;1021;162.4;;;;
16:15:00;900;-3.7;847;162.4;;;;
16:30:00;900;-3.7;657;162.4;;;;
16:45:00;900;-3.7;594;162.4;;;;
17:00:00;900;-3.8;551;162.4;;;;
17:15:00;900;-3.8;507;162.4;;;;
17:30:00;900;-3.8;498;162.4;;;;
17:45:00;900;-3.8;496;162.4;;;;
18:00:00;900;-3.8;496;162.4;;;;
18:15:00;900;-3.8;496;162.4;;;;
18:30:00;900;-3.8;496;162.4;;;;
18:45:00;900;-3.8;496;162.4;;;;
19:00:00;900;-3.8;496;162.4;;;;
19:15:00;900;-3.8;496;162.4;;;;
19:30:00;900;-3.8;496;162.4;;;;
19:45:00;900;-3.8;496;162.4;;;;
20:00:00;900;-3.8;496;162.4;;;;
20:15:00;900;-3.8;496;162.4;;;;
20:30:00;900;-3.7;496;162.4;;;;
20:45:00;900;-3.7;496;162.4;;;;
21:00:00;900;-3.7;496;162.4;;;;
21:15:00;900;-3.8;496;162.4;;;;
21:30:00;900;-3.8;496;162.4;;;;
21:45:00;900;-3.8;496;162.4;;;;
22:00:00;900;-3.8;496;162.4;;;;
22:15:00;900;-3.8;496;162.4;;;;
22:30:00;900;-3.8;496;162.4;;;;
22:45:00;900;-3.8;496;162.4;;;;
23:00:00;900;-3.8;496;162.4;;;;
23:15:00;900;-3.8;496;162.4;;;;
23:30:00;900;-3.8;496;162.4;;;;
23:45:00;900;-3.8;496;162.4;;;;
24:00:00;900;-3.8;496;162.4;;;;
