;Addr;S_OLD;S_NEW;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR;U_DC_1;I_DC_1;P_DC_1;U_DC_2;I_DC_2;P_DC_2;U_DC_3;I_DC_3;P_DC_3;U_AC_1;I_AC_1;P_AC_1;U_AC_2;I_AC_2;P_AC_2;U_AC_3;I_AC_3;P_AC_3;COS_PHI;;;;
;;;;V;A;W;V;A;W;°C;Wh;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;;;;;
05:51:31;3;1;2;29.6;0.00;0;224.5;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:51:35;3;2;1;24.3;0.00;0;224.6;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:55:04;4;1;2;39.6;0.00;0;224.7;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:55:08;4;2;1;29.4;0.00;0;224.8;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:03:51;3;1;3;305.9;0.00;0;224.2;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:04:56;2;1;3;327.0;0.00;0;224.2;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:07:24;4;1;3;287.4;0.00;0;224.0;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:10:38;1;1;3;235.2;0.00;0;224.9;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:13:11;1;3;1;228.8;0.00;0;224.6;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:16:15;1;1;3;316.8;0.00;0;223.9;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:26:34;3;3;4;200.0;0.46;93;222.3;0.40;89;17;12;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:27:16;4;3;4;200.0;0.47;94;222.4;0.41;91;17;14;;;;;;;;;;;;;;;;;;;;;0;0;0.0
