[info]
Anlage=SENA Bogota
Datum=180315
[messung]
Uhrzeit;Intervall;W_V0;G_M0;T_U0;T_M0;T_M13;T_M14;T_M15
;s;m/s;W/m²;°C;°C;°C;°C;°C
[Start]
00:15:00;900;-3.8;496;162.4;;;;
00:30:00;900;-3.8;496;162.4;;;;
00:45:00;900;-3.8;496;162.4;;;;
01:00:00;900;-3.8;496;162.4;;;;
01:15:00;900;-3.8;497;162.4;;;;
01:30:00;900;-3.8;496;162.4;;;;
01:45:00;900;-3.8;496;162.4;;;;
02:00:00;900;-3.8;496;162.4;;;;
02:15:00;900;-3.8;496;162.4;;;;
02:30:00;900;-3.9;496;162.4;;;;
02:45:00;900;-3.9;496;162.4;;;;
03:00:00;900;-3.9;496;162.4;;;;
03:15:00;900;-3.9;496;162.4;;;;
03:30:00;900;-3.9;496;162.4;;;;
03:45:00;900;-3.9;496;162.4;;;;
04:00:00;900;-3.9;496;162.4;;;;
04:15:00;900;-3.9;496;162.4;;;;
04:30:00;900;-3.9;496;162.4;;;;
04:45:00;900;-3.9;496;162.4;;;;
05:00:00;900;-3.9;498;162.4;;;;
05:15:00;900;-3.9;506;162.4;;;;
05:30:00;900;-3.9;524;162.4;;;;
05:45:00;900;-3.9;695;162.4;;;;
06:00:00;900;-3.9;805;162.4;;;;
06:15:00;900;-4.0;730;162.4;;;;
06:30:00;900;-3.9;983;162.4;;;;
06:45:00;900;-3.9;1057;162.4;;;;
07:00:00;900;-3.9;1157;162.4;;;;
07:15:00;900;-3.8;1256;162.4;;;;
07:30:00;900;-3.9;1367;162.4;;;;
07:45:00;900;-3.9;1465;162.4;;;;
08:00:00;900;-3.9;1550;162.4;;;;
08:15:00;900;-3.9;1281;162.4;;;;
08:30:00;900;-3.9;1083;162.4;;;;
08:45:00;900;-3.9;1775;162.4;;;;
09:00:00;900;-3.9;1688;162.4;;;;
09:15:00;900;-3.9;1169;162.4;;;;
09:30:00;900;-3.9;1575;162.4;;;;
09:45:00;900;-3.9;2057;162.4;;;;
10:00:00;900;-3.9;1804;162.4;;;;
10:15:00;900;-3.9;1398;162.4;;;;
10:30:00;900;-3.9;1794;162.4;;;;
10:45:00;900;-3.9;1917;162.4;;;;
11:00:00;900;-3.9;2351;162.4;;;;
11:15:00;900;-3.9;1338;162.4;;;;
11:30:00;900;-3.9;1215;162.4;;;;
11:45:00;900;-3.8;1734;162.4;;;;
12:00:00;900;-3.8;1667;162.4;;;;
Info;Time
12:15:00;675;-3.8;1599;162.4;;;;
12:30:00;900;-3.8;1945;162.4;;;;
12:45:00;900;-3.8;1906;162.4;;;;
13:00:00;900;-3.8;1841;162.4;;;;
13:15:00;900;-3.8;1635;162.4;;;;
13:30:00;900;-3.9;1378;162.4;;;;
13:45:00;900;-3.9;1482;162.4;;;;
14:00:00;900;-3.8;1472;162.4;;;;
14:15:00;900;-3.9;1283;162.4;;;;
14:30:00;900;-3.9;1199;162.4;;;;
14:45:00;900;-3.9;748;162.4;;;;
15:00:00;900;-3.9;662;162.4;;;;
15:15:00;900;-3.9;685;162.4;;;;
15:30:00;900;-3.9;667;162.4;;;;
15:45:00;900;-3.9;637;162.4;;;;
16:00:00;900;-3.9;609;162.4;;;;
16:15:00;900;-3.9;561;162.4;;;;
16:30:00;900;-3.9;546;162.4;;;;
16:45:00;900;-3.9;627;162.4;;;;
17:00:00;900;-3.9;548;162.4;;;;
17:15:00;900;-3.9;505;162.4;;;;
17:30:00;900;-3.9;497;162.4;;;;
17:45:00;900;-3.9;497;162.4;;;;
18:00:00;900;-4.0;497;162.4;;;;
18:15:00;900;-4.0;497;162.4;;;;
18:30:00;900;-4.0;497;162.4;;;;
18:45:00;900;-4.0;496;162.4;;;;
19:00:00;900;-4.0;497;162.4;;;;
19:15:00;900;-4.0;496;162.4;;;;
19:30:00;900;-4.0;497;162.4;;;;
19:45:00;900;-4.0;497;162.4;;;;
20:00:00;900;-4.0;497;162.4;;;;
20:15:00;900;-3.9;497;162.4;;;;
20:30:00;900;-3.9;496;162.4;;;;
20:45:00;900;-3.8;496;162.4;;;;
21:00:00;900;-3.8;496;162.4;;;;
21:15:00;900;-3.8;496;162.4;;;;
21:30:00;900;-3.8;497;162.4;;;;
21:45:00;900;-3.8;497;162.4;;;;
22:00:00;900;-3.8;496;162.4;;;;
22:15:00;900;-3.8;496;162.4;;;;
22:30:00;900;-3.8;496;162.4;;;;
22:45:00;900;-3.8;497;162.4;;;;
23:00:00;900;-3.8;496;162.4;;;;
23:15:00;900;-3.8;496;162.4;;;;
23:30:00;900;-3.8;496;162.4;;;;
23:45:00;900;-3.8;496;162.4;;;;
24:00:00;900;-3.8;497;162.4;;;;
